node_idx,distance,time,weekday,demand
s3,255.0,14,6,5
s3,255.0,14,7,4
s3,255.0,15,1,5
s3,255.0,15,2,2
s3,255.0,15,3,2
s3,255.0,15,4,3
s3,255.0,15,5,4
s3,255.0,15,6,4
s3,255.0,15,7,4
s3,255.0,16,1,6
s3,255.0,16,2,3
s3,255.0,16,3,2
s3,255.0,16,4,4
s3,255.0,16,5,3
s3,255.0,16,6,5
s3,255.0,16,7,3
s3,255.0,17,1,7
s3,255.0,17,2,3
s3,255.0,17,3,3
s3,255.0,17,4,4
s3,255.0,17,5,3
s3,255.0,17,6,4
s3,255.0,17,7,3
s3,255.0,18,1,3
s3,255.0,18,2,3
s3,255.0,18,3,2
s3,255.0,18,4,2
s3,255.0,18,5,4
s3,255.0,18,6,3
s3,255.0,18,7,2
s3,255.0,19,1,3
s3,255.0,19,2,1
s3,255.0,19,3,2
s3,255.0,19,4,2
s3,255.0,19,5,2
s3,255.0,19,6,2
s3,255.0,19,7,2
s3,255.0,20,1,2
s3,255.0,20,2,1
s3,255.0,20,3,2
s3,255.0,20,4,2
s3,255.0,20,5,2
s3,255.0,20,6,3
s3,255.0,20,7,1
s3,255.0,21,1,1
s3,255.0,21,2,2
s3,255.0,21,3,2
s3,255.0,21,4,1
s3,255.0,21,5,2
s3,255.0,21,6,2
s3,255.0,21,7,2
s3,255.0,22,1,1
s3,255.0,22,2,1
s3,255.0,22,3,0
s3,255.0,22,4,1
s3,255.0,22,5,1
s3,255.0,22,6,3
s3,255.0,22,7,1
s3,255.0,23,1,0
s3,255.0,23,2,0
s3,255.0,23,3,0
s3,255.0,23,4,0
s3,255.0,23,5,0
s3,255.0,23,6,2
s3,255.0,23,7,2
s4,375.0,0,1,0
s4,375.0,0,2,0
s4,375.0,0,3,0
s4,375.0,0,4,0
s4,375.0,0,5,0
s4,375.0,0,6,0
s4,375.0,0,7,0
s4,375.0,1,1,0
s4,375.0,1,2,0
s4,375.0,1,3,0
s4,375.0,1,4,0
s4,375.0,1,5,0
s4,375.0,1,6,0
s4,375.0,1,7,2
s4,375.0,2,1,0
s4,375.0,2,2,0
s4,375.0,2,3,0
s4,375.0,2,4,0
s4,375.0,2,5,0
s4,375.0,2,6,0
s4,375.0,2,7,0
s4,375.0,3,1,0
s4,375.0,3,2,0
s4,375.0,3,3,0
s4,375.0,3,4,0
s4,375.0,3,5,0
s4,375.0,3,6,0
s4,375.0,3,7,0
s4,375.0,4,1,0
s4,375.0,4,2,0
s4,375.0,4,3,0
s4,375.0,4,4,0
s4,375.0,4,5,0
s4,375.0,4,6,0
s4,375.0,4,7,0
s4,375.0,5,1,2
s4,375.0,5,2,0
s4,375.0,5,3,0
s4,375.0,5,4,0
s4,375.0,5,5,0
s4,375.0,5,6,0
s4,375.0,5,7,0
s4,375.0,6,1,0
s4,375.0,6,2,2
s4,375.0,6,3,0
s4,375.0,6,4,0
s4,375.0,6,5,0
s4,375.0,6,6,0
s4,375.0,6,7,0
s4,375.0,7,1,0
s4,375.0,7,2,2
s4,375.0,7,3,2
s4,375.0,7,4,2
s4,375.0,7,5,2
s4,375.0,7,6,2
s4,375.0,7,7,2
s4,375.0,8,1,2
s4,375.0,8,2,4
s4,375.0,8,3,2
s4,375.0,8,4,2
s4,375.0,8,5,4
s4,375.0,8,6,4
s4,375.0,8,7,2
s4,375.0,9,1,2
s4,375.0,9,2,4
s4,375.0,9,3,4
s4,375.0,9,4,2
s4,375.0,9,5,4
s4,375.0,9,6,4
s4,375.0,9,7,6
s4,375.0,10,1,4
s4,375.0,10,2,2
s4,375.0,10,3,2
s4,375.0,10,4,2
s4,375.0,10,5,4
s4,375.0,10,6,4
s4,375.0,10,7,6
s4,375.0,11,1,4
s4,375.0,11,2,4
s4,375.0,11,3,2
s4,375.0,11,4,6
s4,375.0,11,5,6
s4,375.0,11,6,6
s4,375.0,11,7,6
s4,375.0,12,1,4
s4,375.0,12,2,4
s4,375.0,12,3,4
s4,375.0,12,4,6
s4,375.0,12,5,4
s4,375.0,12,6,6
s4,375.0,12,7,6
s4,375.0,13,1,6
s4,375.0,13,2,2
s4,375.0,13,3,2
s4,375.0,13,4,4
s4,375.0,13,5,4
s4,375.0,13,6,6
s4,375.0,13,7,4
s4,375.0,14,1,6
s4,375.0,14,2,4
s4,375.0,14,3,4
s4,375.0,14,4,4
s4,375.0,14,5,4
s4,375.0,14,6,6
s4,375.0,14,7,6
s4,375.0,15,1,6
s4,375.0,15,2,4
s4,375.0,15,3,2
s4,375.0,15,4,4
s4,375.0,15,5,2
s4,375.0,15,6,4
s4,375.0,15,7,4
s4,375.0,16,1,6
s4,375.0,16,2,4
s4,375.0,16,3,2
s4,375.0,16,4,4
s4,375.0,16,5,2
s4,375.0,16,6,6
s4,375.0,16,7,4
s4,375.0,17,1,4
s4,375.0,17,2,2
s4,375.0,17,3,4
s4,375.0,17,4,4
s4,375.0,17,5,8
s4,375.0,17,6,4
s4,375.0,17,7,6
s4,375.0,18,1,4
s4,375.0,18,2,4
s4,375.0,18,3,4
s4,375.0,18,4,2
s4,375.0,18,5,6
s4,375.0,18,6,6
s4,375.0,18,7,4
s4,375.0,19,1,6
s4,375.0,19,2,4
s4,375.0,19,3,4
s4,375.0,19,4,4
s4,375.0,19,5,4
s4,375.0,19,6,4
s4,375.0,19,7,4
s4,375.0,20,1,2
s4,375.0,20,2,2
s4,375.0,20,3,2
s4,375.0,20,4,2
s4,375.0,20,5,2
s4,375.0,20,6,4
s4,375.0,20,7,2
s4,375.0,21,1,2
s4,375.0,21,2,2
s4,375.0,21,3,0
s4,375.0,21,4,2
s4,375.0,21,5,2
s4,375.0,21,6,2
s4,375.0,21,7,2
s4,375.0,22,1,2
s4,375.0,22,2,0
s4,375.0,22,3,0
s4,375.0,22,4,0
s4,375.0,22,5,2
s4,375.0,22,6,0
s4,375.0,22,7,2
s4,375.0,23,1,0
s4,375.0,23,2,0
s4,375.0,23,3,0
s4,375.0,23,4,0
s4,375.0,23,5,0
s4,375.0,23,6,2
s4,375.0,23,7,0
s5,542.0,0,1,1
s5,542.0,0,2,0
s5,542.0,0,3,0
s5,542.0,0,4,0
s5,542.0,0,5,0
s5,542.0,0,6,0
s5,542.0,0,7,0
s5,542.0,1,1,1
s5,542.0,1,2,0
s5,542.0,1,3,0
s5,542.0,1,4,0
s5,542.0,1,5,0
s5,542.0,1,6,0
s5,542.0,1,7,0
s5,542.0,2,1,0
s5,542.0,2,2,0
s5,542.0,2,3,0
s5,542.0,2,4,0
s5,542.0,2,5,0
s5,542.0,2,6,0
s5,542.0,2,7,0
s5,542.0,3,1,0
s5,542.0,3,2,0
s5,542.0,3,3,0
s5,542.0,3,4,0
s5,542.0,3,5,0
s5,542.0,3,6,0
s5,542.0,3,7,0
s5,542.0,4,1,0
s5,542.0,4,2,0
s5,542.0,4,3,0
s5,542.0,4,4,0
s5,542.0,4,5,0
s5,542.0,4,6,0
s5,542.0,4,7,0
s5,542.0,5,1,0
s5,542.0,5,2,0
s5,542.0,5,3,0
s5,542.0,5,4,0
s5,542.0,5,5,0
s5,542.0,5,6,0
s5,542.0,5,7,0
s5,542.0,6,1,0
s5,542.0,6,2,0
s5,542.0,6,3,0
s5,542.0,6,4,0
s5,542.0,6,5,0
s5,542.0,6,6,0
s5,542.0,6,7,0
s5,542.0,7,1,0
s5,542.0,7,2,0
s5,542.0,7,3,0
s5,542.0,7,4,0
s5,542.0,7,5,0
s5,542.0,7,6,0
s5,542.0,7,7,0
s5,542.0,8,1,0
s5,542.0,8,2,0
s5,542.0,8,3,0
s5,542.0,8,4,0
s5,542.0,8,5,0
s5,542.0,8,6,0
s5,542.0,8,7,1
s5,542.0,9,1,2
s5,542.0,9,2,2
s5,542.0,9,3,0
s5,542.0,9,4,0
s5,542.0,9,5,1
s5,542.0,9,6,2
s5,542.0,9,7,0
s5,542.0,10,1,2
s5,542.0,10,2,3
s5,542.0,10,3,1
s5,542.0,10,4,2
s5,542.0,10,5,0
s5,542.0,10,6,1
s5,542.0,10,7,3
s5,542.0,11,1,3
s5,542.0,11,2,3
s5,542.0,11,3,1
s5,542.0,11,4,2
s5,542.0,11,5,2
s5,542.0,11,6,2
s5,542.0,11,7,2
s5,542.0,12,1,3
s5,542.0,12,2,1
s5,542.0,12,3,3
s5,542.0,12,4,3
s5,542.0,12,5,2
s5,542.0,12,6,2
s5,542.0,12,7,2
s5,542.0,13,1,3
s5,542.0,13,2,3
s5,542.0,13,3,2
s5,542.0,13,4,1
s5,542.0,13,5,3
s5,542.0,13,6,4
s5,542.0,13,7,3
s5,542.0,14,1,4
s5,542.0,14,2,4
s5,542.0,14,3,3
s5,542.0,14,4,2
s5,542.0,14,5,2
s5,542.0,14,6,3
s5,542.0,14,7,4
s5,542.0,15,1,3
s5,542.0,15,2,2
s5,542.0,15,3,3
s5,542.0,15,4,1
s5,542.0,15,5,4
s5,542.0,15,6,3
s5,542.0,15,7,4
s5,542.0,16,1,4
s5,542.0,16,2,3
s5,542.0,16,3,4
s5,542.0,16,4,1
s5,542.0,16,5,2
s5,542.0,16,6,3
s5,542.0,16,7,4
s5,542.0,17,1,3
s5,542.0,17,2,2
s5,542.0,17,3,2
s5,542.0,17,4,3
s5,542.0,17,5,1
s5,542.0,17,6,3
s5,542.0,17,7,4
s5,542.0,18,1,4
s5,542.0,18,2,1
s5,542.0,18,3,2
s5,542.0,18,4,1
s5,542.0,18,5,2
s5,542.0,18,6,2
s5,542.0,18,7,3
s5,542.0,19,1,2
s5,542.0,19,2,1
s5,542.0,19,3,2
s5,542.0,19,4,2
s5,542.0,19,5,3
